Identifier,Property Address,City,State,Zip,Y,X,Council District,Property Type,Square Footage
NOR900662,"2133-35 BENTON","New Orleans","LA","70117","29.963460089000478","-90.01192862799968",E,VACANT LOT,6146.31
NOR900663,"2217 GORDON","New Orleans","LA","70117","29.971387538000442","-90.00687283099967",E,VACANT LOT,2128.95
NOR900664,"2245-47 BENTON","New Orleans","LA","70117","29.963460089000478","-90.01192862799968",E,VACANT LOT,2412.36
NOR900665,"2300 BENTON","New Orleans","LA","70117","29.972444031000464","-90.00767822999967",E,VACANT LOT,2422.96
NOR900666,"2305 BENTON","New Orleans","LA","70117","29.972506805000478","-90.0075834759997",E,VACANT LOT,2096.71
NOR900669,"2323-25 BENTON","New Orleans","LA","70117","29.963460089000478","-90.01192862799968",E,VACANT LOT,4200
NOR900670,"2333 BENTON","New Orleans","LA","70117","29.97303742000048","-90.00732290699966",E,VACANT LOT,2105.47
NOR900671,"2428 BENTON","New Orleans","LA","70117","29.973963628000433","-90.00693797399964",E,VACANT LOT,2105.68
NOR900672,"2241-43 BENTON","New Orleans","LA","70117","29.963460089000478","-90.01192862799968",E,VACANT LOT,2122.62
NOR900673,"2441 BENTON","New Orleans","LA","70117","29.974106942000446","-90.00680295099966",E,VACANT LOT,2114.17
NOR900674,"2326-28 BENTON","New Orleans","LA","70117","29.963460089000478","-90.01192862799968",E,VACANT LOT,2111.75
NOR900675,"2125-27 BENTON","New Orleans","LA","70117","29.963460089000478","-90.01192862799968",E,VACANT LOT,9508.38
NOR900676,"1935 CAFFIN","New Orleans","LA","70117","29.97009179400044","-90.01287068099964",E,VACANT LOT,4058.76
NOR900677,"1941 CAFFIN","New Orleans","LA","70117","29.97016167400045","-90.01285054599964",E,VACANT LOT,3589.34
NOR900679,"2125 CAFFIN","New Orleans","LA","70117","29.971990402000472","-90.01226070999968",E,VACANT LOT,3783.49
NOR900680,"1703 CHARBONNET","New Orleans","LA","70117","29.96693060400048","-90.01187103899969",E,VACANT LOT,3344.94
NOR900681,"1713 CHARBONNET","New Orleans","LA","70117","29.967181699000434","-90.01179049999968",E,VACANT LOT,3357
NOR900682,"1827 CHARBONNET","New Orleans","LA","70117","29.968460862000484","-90.01139016899964",E,VACANT LOT,3778.07
NOR900683,"1906 CHARBONNET","New Orleans","LA","70117","29.969140713000456","-90.01123974899969",E,VACANT LOT,4461.76
NOR900684,"1919 CHARBONNET","New Orleans","LA","70117","29.969430893000435","-90.01108103799965",E,VACANT LOT,7556.15
NOR900685,"2216 CHARBONNET","New Orleans","LA","70117","29.972440478000465","-90.01017022699966",E,STRUCTURE,3336.43
NOR900686,"2413 CHARBONNET","New Orleans","LA","70117","29.974411336000458","-90.00943115599966",E,VACANT LOT,3755.19
NOR900687,"2419 CHARBONNET","New Orleans","LA","70117","29.974490691000483","-90.00941102099966",E,VACANT LOT,3775.39
NOR900688,"2427 CHARBONNET","New Orleans","LA","70117","29.974651770000435","-90.00936127499966",E,VACANT LOT,3782.11
NOR900689,"2527 CHARBONNET","New Orleans","LA","70117","29.97569049700047","-90.00902134999967",E,VACANT LOT,3411.95
NOR900690,"2542 CHARBONNET","New Orleans","LA","70117","29.976030423000452","-90.00897989599969",E,VACANT LOT,3452.48
NOR900691,"2423 DELERY","New Orleans","LA","70117","29.972027119000472","-90.00183316799968",E,VACANT LOT,3529.64
NOR900692,"2227 GORDON","New Orleans","LA","70117","29.971537958000454","-90.00680295099966",E,VACANT LOT,2880.6
NOR900693,"2306 GORDON","New Orleans","LA","70117","29.97213490000047","-90.00657791299966",E,VACANT LOT,2115.04
NOR900694,"2334 GORDON","New Orleans","LA","70117","29.972664332000477","-90.00630786699969",E,VACANT LOT,2115.05
NOR900695,"2440-42 GORDON","New Orleans","LA","70117","29.95545350800046","-90.01458567899965",E,VACANT LOT,2494.73
NOR900696,"2535 GORDON","New Orleans","LA","70117","29.974696778000464","-90.00526321799964",E,VACANT LOT,2895.78
NOR900697,"2441 DELERY","New Orleans","LA","70117","29.97225689500044","-90.00172301799967",E,VACANT LOT,3539.35
NOR900698,"1312-14 GORDON","New Orleans","LA","70117","29.95545350800046","-90.01458567899965",E,VACANT LOT,3922.41
NOR900699,"2033 GORDON","New Orleans","LA","70117","29.969726996000475","-90.00765335699964",E,VACANT LOT,3907.22
NOR900700,"2422 GORDON","New Orleans","LA","70117","29.973423537000485","-90.00593833199969",E,VACANT LOT,2114.32
NOR900701,"2510 CHARBONNET","New Orleans","LA","70117","29.97537070700048","-90.00920019599965",E,VACANT LOT,3403.9
NOR900702,"2511 CHARBONNET","New Orleans","LA","70117","29.975440587000435","-90.00910070599969",E,VACANT LOT,3385.05
NOR900703,"2329 DELERY","New Orleans","LA","70117","29.97099786700045","-90.00234246399964",E,VACANT LOT,3764.97
NOR900704,"1630 GORDON","New Orleans","LA","70117","29.965943991000472","-90.00953775299968",E,VACANT LOT,3266.82
NOR900705,"6421 MARQUE","New Orleans","LA","70117","29.959976936000487","-90.00691191699968",E,VACANT LOT,2403.17
NOR900706,"2242 TRICOU","New Orleans","LA","70117","29.970713609000484","-90.00361807299964",E,VACANT LOT,4353.69
NOR900707,"2433 TRICOU","New Orleans","LA","70117","29.972506805000478","-90.00271318399967",E,VACANT LOT,5628.29
NOR900710,"13001 I-10 SERVICE ROAD","New Orleans","LA","70129","30.053236790000483","-89.95067096299965",E,VACANT LOT,170560.53
NOR900718,"2132 BENTON ST","New Orleans","LA","70117","29.971113939000475","-90.00830833499964",E,VACANT LOT,3330
NOR900719,"1214801 MURL ST","New Orleans","LA","70114","29.928480012000477","-90.02517845599965",C,VACANT LOT,
NOR900720,"1628 FORSTALL ST","New Orleans","LA","70117","29.96832939200044","-90.01942994099966",E,VACANT LOT,
NOR900721,"1514 ODEON","New Orleans","LA","70114","29.938988014000472","-90.02258876199966",C,VACANT LOT,
NOR900725,"919-29 N ROCHEBLAVE","New Orleans","LA","70119","29.963942786000473","-90.08480710899966",A,VACANT LOT,
NOR900736,"2325 BENTON ST","New Orleans","LA","70117","29.972817120000457","-90.00743305699967",E,VACANT LOT,2100
NOR900868,"1031 BELLEVILLE ST","New Orleans","LA","70114","29.944772670000475","-90.04847166299965",C,VACANT LOT,
NOR900869,"1220 BELLEVILLE ST","New Orleans","LA","70114","29.942799445000446","-90.04852851599969",C,VACANT LOT,
NOR900870,"1228 BELLEVILLE ST","New Orleans","LA","70114","29.94267863400046","-90.04853917499969",C,VACANT LOT,
